country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Rwanda,2016,uniqueid_3448,Rural,Yes,3,29,Male,Head of Household,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_6428,Urban,No,3,39,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,uniqueid_2973,Urban,Yes,1,28,Male,Head of Household,Divorced/Seperated,No formal education,Informally employed
Rwanda,2016,uniqueid_1030,Rural,Yes,4,26,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_7860,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_3341,Rural,No,3,22,Female,Spouse,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_3703,Rural,Yes,2,26,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_471,Rural,Yes,6,34,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_4551,Urban,Yes,3,28,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Government
Rwanda,2016,uniqueid_5797,Rural,Yes,4,56,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Uganda,2018,uniqueid_140,Rural,Yes,6,37,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_7719,Rural,Yes,7,37,Male,Head of Household,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_1508,Urban,Yes,2,31,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_4102,Rural,No,7,56,Female,Spouse,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_5230,Rural,Yes,5,49,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_1290,Urban,Yes,2,45,Female,Spouse,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_2241,Rural,Yes,1,62,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Uganda,2018,uniqueid_1305,Rural,No,3,18,Female,Parent,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_1674,Rural,Yes,7,33,Male,Head of Household,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_8460,Rural,Yes,2,73,Female,Head of Household,Divorced/Seperated,No formal education,Government Dependent
Kenya,2018,uniqueid_2218,Urban,Yes,4,32,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,uniqueid_2605,Urban,Yes,1,30,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Rwanda,2016,uniqueid_7011,Rural,No,3,59,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2157,Urban,No,2,57,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_884,Urban,Yes,1,34,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Rwanda,2016,uniqueid_4699,Urban,Yes,3,21,Female,Other relative,Single/Never Married,Secondary education,Other Income
Tanzania,2017,uniqueid_3957,Rural,Yes,2,31,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_3408,Rural,No,3,56,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Uganda,2018,uniqueid_941,Rural,Yes,5,26,Female,Spouse,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_4066,Rural,Yes,3,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_3389,Rural,Yes,6,38,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_3270,Rural,Yes,1,75,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_1284,Urban,No,2,38,Female,Spouse,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_3098,Urban,Yes,5,29,Female,Spouse,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_3324,Urban,No,3,33,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_1543,Rural,Yes,3,23,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_768,Rural,No,1,39,Female,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Uganda,2018,uniqueid_791,Urban,Yes,2,73,Female,Head of Household,Widowed,Primary education,No Income
Tanzania,2017,uniqueid_5466,Rural,Yes,1,41,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_5903,Rural,Yes,4,20,Male,Other non-relatives,Divorced/Seperated,Primary education,Formally employed Private
Tanzania,2017,uniqueid_1404,Urban,Yes,1,18,Male,Head of Household,Divorced/Seperated,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_2574,Urban,Yes,4,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Rwanda,2016,uniqueid_1696,Urban,Yes,2,45,Female,Head of Household,Widowed,No formal education,Formally employed Private
Rwanda,2016,uniqueid_2084,Rural,Yes,5,31,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Uganda,2018,uniqueid_736,Rural,Yes,1,21,Male,Head of Household,Single/Never Married,Primary education,Other Income
Rwanda,2016,uniqueid_6115,Urban,Yes,4,33,Male,Head of Household,Married/Living together,No formal education,Other Income
Rwanda,2016,uniqueid_2585,Rural,Yes,6,19,Female,Child,Single/Never Married,Primary education,Informally employed
Uganda,2018,uniqueid_1662,Rural,Yes,8,47,Female,Spouse,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_4174,Urban,No,3,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,uniqueid_5465,Rural,Yes,4,65,Male,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_1851,Rural,No,7,58,Female,Head of Household,Widowed,Primary education,No Income
Rwanda,2016,uniqueid_4644,Rural,Yes,5,22,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_5820,Rural,Yes,5,42,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_3872,Urban,No,2,28,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_1015,Rural,Yes,2,30,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_2893,Urban,Yes,2,25,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_5208,Urban,No,3,40,Female,Child,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_3329,Urban,Yes,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_5373,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_894,Rural,Yes,3,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1734,Urban,Yes,5,23,Female,Parent,Single/Never Married,Primary education,Self employed
Uganda,2018,uniqueid_1737,Urban,Yes,4,25,Female,Parent,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_2464,Urban,Yes,1,30,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Rwanda,2016,uniqueid_8031,Rural,Yes,5,31,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_1190,Urban,No,1,28,Female,Head of Household,Single/Never Married,No formal education,Informally employed
Kenya,2018,uniqueid_6037,Rural,Yes,5,42,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_226,Rural,Yes,3,64,Male,Head of Household,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_3850,Urban,Yes,5,53,Male,Head of Household,Married/Living together,Primary education,Other Income
Tanzania,2017,uniqueid_5463,Urban,No,2,29,Female,Spouse,Single/Never Married,Primary education,Self employed
Uganda,2018,uniqueid_727,Rural,No,6,79,Male,Head of Household,Married/Living together,Secondary education,Other Income
Kenya,2018,uniqueid_5196,Urban,No,4,16,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_6319,Rural,Yes,3,43,Male,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_3083,Urban,Yes,1,21,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_3054,Rural,Yes,5,66,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_3507,Urban,Yes,9,50,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_3832,Rural,Yes,2,26,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
Uganda,2018,uniqueid_955,Rural,No,4,16,Male,Parent,Single/Never Married,Secondary education,Self employed
Uganda,2018,uniqueid_1858,Rural,Yes,5,18,Female,Other relative,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_7636,Rural,Yes,7,45,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_2882,Urban,Yes,2,64,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_5037,Rural,Yes,4,17,Female,Other relative,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_1796,Urban,Yes,3,18,Female,Child,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_4573,Urban,Yes,6,43,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_3194,Urban,Yes,3,31,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Kenya,2018,uniqueid_4760,Rural,Yes,1,42,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1201,Urban,Yes,1,41,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_6855,Rural,Yes,5,55,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_552,Rural,Yes,3,30,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_413,Rural,Yes,5,29,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_4168,Rural,Yes,7,30,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_2552,Urban,No,4,22,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_1688,Urban,Yes,6,35,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_4872,Rural,Yes,6,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_2323,Rural,No,2,70,Male,Head of Household,Single/Never Married,No formal education,Self employed
Tanzania,2017,uniqueid_4372,Rural,Yes,4,43,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_2849,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4457,Urban,Yes,2,39,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_2567,Rural,Yes,8,68,Male,Head of Household,Married/Living together,Primary education,Other Income
Rwanda,2016,uniqueid_6125,Rural,Yes,3,49,Female,Head of Household,Widowed,Primary education,Informally employed
Uganda,2018,uniqueid_1616,Urban,Yes,7,46,Male,Head of Household,Married/Living together,Vocational/Specialised training,Other Income
Rwanda,2016,uniqueid_54,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_2939,Urban,Yes,2,43,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_353,Urban,Yes,3,25,Male,Other non-relatives,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1628,Urban,No,6,38,Female,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_5807,Rural,Yes,2,50,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_5888,Rural,No,5,20,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_5308,Rural,No,15,25,Male,Child,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6338,Urban,No,5,21,Male,Parent,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_7245,Rural,Yes,3,62,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Uganda,2018,uniqueid_1159,Rural,Yes,6,25,Female,Spouse,Married/Living together,Secondary education,Dont Know/Refuse to answer
Tanzania,2017,uniqueid_3198,Urban,Yes,3,26,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,uniqueid_4894,Urban,Yes,5,18,Female,Child,Divorced/Seperated,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_5399,Rural,Yes,4,23,Female,Child,Married/Living together,Secondary education,Self employed
Uganda,2018,uniqueid_1187,Rural,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
Rwanda,2016,uniqueid_6730,Rural,Yes,3,63,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_3326,Rural,Yes,1,52,Female,Head of Household,Single/Never Married,Secondary education,Informally employed
Tanzania,2017,uniqueid_6479,Urban,No,3,80,Male,Spouse,Single/Never Married,No formal education,Remittance Dependent
Kenya,2018,uniqueid_2291,Rural,Yes,10,64,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Tanzania,2017,uniqueid_5400,Rural,Yes,4,53,Male,Other non-relatives,Widowed,Primary education,Informally employed
Tanzania,2017,uniqueid_1164,Urban,Yes,2,35,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1710,Urban,Yes,4,39,Female,Parent,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_6262,Urban,No,8,30,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_2551,Rural,Yes,3,53,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_4175,Urban,No,2,70,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_1566,Urban,Yes,3,33,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_744,Rural,Yes,4,18,Male,Other non-relatives,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1682,Rural,Yes,5,30,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
Tanzania,2017,uniqueid_4371,Urban,Yes,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_3350,Urban,Yes,3,25,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
Uganda,2018,uniqueid_245,Urban,Yes,4,22,Female,Spouse,Married/Living together,Secondary education,Formally employed Private
Uganda,2018,uniqueid_1266,Rural,Yes,3,24,Female,Spouse,Married/Living together,Primary education,No Income
Tanzania,2017,uniqueid_2358,Urban,No,2,41,Male,Head of Household,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_189,Rural,Yes,2,50,Female,Spouse,Married/Living together,Primary education,Informally employed
